Counter	Image	Merger (0 = no, 1 = yes)	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
38	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_225.fits	1	2.2	1	1	0.0	0.0	0.5791726784935749	-1.9640945653652204	4.3104575570035175	0.24094193911394005	0.1479853774544121	2.6969	0.20249052
39	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	1	1	0.0	0.0	0.6304835593509969	-1.9853401531876549	4.674355593871017	0.2773610729275654	0.15582719837558626	2.7888	0.13815187
40	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	1	1	0.0	0.0	0.6363005030188852	-2.0404362848232958	4.776110506270702	0.20884141915815152	0.2141078982853827	2.8047	0.11561601
41	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_250.fits	1	2.44	1	1	0.0	0.0	0.6079101030461831	-2.320257917856709	4.717150262843736	0.15935502244711244	0.15827463362188354	3.1593	0.08720762
42	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_260.fits	1	2.54	1	1	0.0	0.0	0.6151488105103794	-2.2682850998644426	4.712459809748047	0.1745347090764751	0.16020959039481092	2.9508	0.13869086
43	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	1	1	0.0	0.0	0.6304390755341682	-2.4773392204582017	4.7915812947557255	0.11699344003918805	0.16533200656022415	2.7778	0.12859008
44	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	0	2.69	1	1	0.0	0.0	0.6251665646192198	-2.281160973287727	4.6201952385435066	0.1372598792071637	0.1660694679419914	2.7119999999999997	0.10817121
45	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_285.fits	0	2.79	1	1	0.0	0.0	0.6092670821639644	-2.2992156707425373	4.639459693151028	0.14677657936092764	0.15976280501493825	2.8493	0.07789679
46	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	0	3.62	1	1	0.0	0.0	0.5499752336161999	-2.1680630996718318	3.586221779895141	-0.004300017461582647	0.053383958429917035	2.1655	0.16674562
47	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_305.fits	0	4.6	1	1	0.0	0.0	0.5636361964484334	-2.4053714610044232	4.360439003814049	0.028073443705093563	0.12915198384242144	3.0107	0.09987516
48	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_311.fits	0	5.18	1	1	0.0	0.0	0.5565608410465702	-2.3240981404680823	3.9821730143151273	0.03933711815582111	0.11502690158346322	2.7227	0.09305588
